ID	Site	Polygon	Site_ID	St	At	RH	Slope	DEM	Aspect	Soil	MSI	NDVI	Bt
P5-Sg1	For	P5	P5For	24.2	16.8	42.51036	4.52019	2837	198.43495	1	0.74004	0.36725	24.2
P5-Sg2	For	P5	P5For	17.7	18.3	42.51209	0	2838	0	1	0.73595	0.27956	26.2
P5-Sg3	For	P5	P5For	26.6	22.9	42.50708	13.90027	2838	225	1	0.77509	0.43424	32.5
P5-Sg5	For	P5	P5For	26.3	23.6	42.5088	22.47997	2832	244.98311	1	0.78066	0.54795	31.2
P5-Sg6	For	P5	P5For	26.3	23.6	42.5088	22.47997	2832	244.98311	1	0.78066	0.54795	23.9
P5-Sg7	For	P5	P5For	26.3	23.6	42.5088	22.47997	2832	244.98311	1	0.78066	0.54795	30.6
P5-Sg10	For	P5	P5For	27	19	42.54927	5.88509	2773	14.03625	1	0.58	0.3947	32.2
P5-Sg11	For	P5	P5For	27	19	42.54927	5.88509	2773	14.03625	1	0.58	0.3947	29.2
P5-Sg12	For	P5	P5For	27	19	42.54927	5.88509	2773	14.03625	1	0.58	0.3947	32.5
P5-Sg13	For	P5	P5For	27	19	42.54927	5.88509	2773	14.03625	1	0.58	0.3947	31.2
P5-Sg14	For	P5	P5For	20.3	20.7	42.55218	9.87599	2775	68.96249	1	0.84189	0.41132	31.3
P5-Sg15	For	P5	P5For	20.3	20.7	42.55218	9.87599	2775	68.96249	1	0.84189	0.41132	32.9
P5-Sg16	For	P5	P5For	20.3	20.7	42.55218	9.87599	2775	68.96249	1	0.84189	0.41132	30.8
P5-Sg17	For	P5	P5For	20.3	20.7	42.55218	9.87599	2775	68.96249	1	0.84189	0.41132	25.6
P5-Sg18	For	P5	P5For	20.3	20.7	42.55218	9.87599	2775	68.96249	1	0.84189	0.41132	31.6
