ID	Site	Polygon	Site_ID	St	At	RH	Slope	DEM	Aspect	Soil	MSI	NDVI	Bt
P5-O1	Agr	P5	P5Agr	27.5	21.9	34.2	8.98442	2865	71.56505	1	0.73116	0.55065	33.2
P5-O2	Agr	P5	P5Agr	27.5	21.9	34.2	8.98442	2868	71.56505	1	0.73116	0.55065	30.3
P5-O3	Agr	P5	P5Agr	28.9	21.6	34.2	8.98442	2868	71.56505	1	0.73116	0.55065	32.4
P5-O4	Agr	P5	P5Agr	39.5	30.8	38	0	2879	0	3	1.23258	0.16515	30.8
P5-O5	Agr	P5	P5Agr	24.6	25.4	36.8	3.64695	2879	11.30993	3	1.19197	0.22419	30.8
P5-O6	Agr	P5	P5Agr	24.6	25.4	36.8	3.64695	2879	11.30993	3	1.19197	0.22419	30.8
P5-O8	Agr	P5	P5Agr	19.3	18	35.5	2.26352	2883	71.56505	3	1.29479	0.32538	24.6
P5-O9	Agr	P5	P5Agr	21.9	21	37.9	2.26352	2890	108.43495	4	1.2563	0.44437	30.8
P5-O10	Agr	P5	P5Agr	19.6	19.6	36	7.05392	2883	45	1	0.86696	0.51008	34.6
P5-O11	Agr	P5	P5Agr	24.2	21.1	30.9	2.8624	2890	180	3	0.69883	0.4213	31.9
P5-O12	Agr	P5	P5Agr	24.2	21.1	30.5	3.03563	2890	225	4	0.83755	0.52762	26.8
P5-O13	Agr	P5	P5Agr	20	16.2	68.6	2.8624	2834	0	1	1.11159	0.4629	30.8
P5-O14	Agr	P5	P5Agr	24.9	19.1	48.3	3.03563	2806	135	3	1.03208	0.40904	30.6
P5-O15	Agr	P5	P5Agr	21.1	15.9	48.3	3.03563	2806	135	3	1.03208	0.40904	31.1
P5-O17	Agr	P5	P5Agr	34.2	26.2	33	32.64049	2814	72.97948	3	1.60076	0.18506	32.6
